# Generated by PyFunceble (v4.2.1.dev) / https://pyfunceble.github.io
# Date of generation: 2023-08-13T09:03:52.919673

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
GoDaddy.com, LLC               53%          23968       
Name.com, Inc.                 8%           3426        
NameSilo, LLC                  7%           3100        
Dynadot Inc                    6%           2928        
Gname.com Pte. Ltd.            5%           2190        
NameCheap, Inc.                4%           1882        
Go Daddy, LLC                  3%           1342        
Google LLC                     1%           436         
Gandi SAS                      1%           356         
CSC Corporate Domains, Inc.    1%           350         
Namecheap                      1%           258         
Web Commerce Communications Limited dba WebNic.cc 1%           256         
eName Technology Co., Ltd.     1%           254         
URL Solutions, Inc.            0%           188         
SafeNames Ltd.                 0%           172         
GoDaddy.com, LLC               53%          23968       
Name.com, Inc.                 8%           3426        
NameSilo, LLC                  7%           3100        
Dynadot Inc                    6%           2928        
Gname.com Pte. Ltd.            5%           2190        
NameCheap, Inc.                4%           1882        
Go Daddy, LLC                  3%           1342        
Google LLC                     1%           436         
Gandi SAS                      1%           356         
CSC Corporate Domains, Inc.    1%           350         
Namecheap                      1%           258         
Web Commerce Communications Limited dba WebNic.cc 1%           256         
eName Technology Co., Ltd.     1%           254         
URL Solutions, Inc.            0%           188         
SafeNames Ltd.                 0%           172         
